population_1,population_2,fst,longitude,latitude
S. a. aberti Carson-SFW,S. a. aberti Carson-SFW,0,-106.620585,35.721199
S. a. aberti Carson-SFW,S. a. aberti Coconino-Gila,0.23987431,-109.4186,33.7954
S. a. aberti Carson-SFW,S. a. aberti MT-Zuni,0.264613282,-107.623047,35.227501
S. a. aberti Carson-SFW,S. a. aberti San Juan,0.098021057,-107.67,37.77
S. a. aberti Carson-SFW,S. a. barberi,0.35716187,-108.2527447,29.66891345
S. a. aberti Carson-SFW,S. a. chuscensis E,0.32957575,-109.0395333,36.09859869
S. a. aberti Carson-SFW,S. a. chuscensis W,0.308283342,-109.0395333,36.09859869
S. a. aberti Carson-SFW,S. a. ferreus Carson E,0.202790074,-105.084478,36.776967
S. a. aberti Carson-SFW,S. a. ferreus Pike,0.310416833,-105.3251534,38.9133299
S. a. aberti Carson-SFW,S. a. kaibabensis,0.504177096,-112.1675211,36.5831097
S. a. aberti Coconino-Gila,S. a. aberti Carson-SFW,0.23987431,-106.620585,35.721199
S. a. aberti Coconino-Gila,S. a. aberti Coconino-Gila,0,-109.4186,33.7954
S. a. aberti Coconino-Gila,S. a. aberti MT-Zuni,0.134746378,-107.623047,35.227501
S. a. aberti Coconino-Gila,S. a. aberti San Juan,0.305588067,-107.67,37.77
S. a. aberti Coconino-Gila,S. a. barberi,0.228384049,-108.2527447,29.66891345
S. a. aberti Coconino-Gila,S. a. chuscensis E,0.15793706,-109.0395333,36.09859869
S. a. aberti Coconino-Gila,S. a. chuscensis W,0.197547232,-109.0395333,36.09859869
S. a. aberti Coconino-Gila,S. a. ferreus Carson E,0.18278713,-105.084478,36.776967
S. a. aberti Coconino-Gila,S. a. ferreus Pike,0.284515113,-105.3251534,38.9133299
S. a. aberti Coconino-Gila,S. a. kaibabensis,0.332035966,-112.1675211,36.5831097
S. a. aberti MT-Zuni,S. a. aberti Carson-SFW,0.264613282,-106.620585,35.721199
S. a. aberti MT-Zuni,S. a. aberti Coconino-Gila,0.134746378,-109.4186,33.7954
S. a. aberti MT-Zuni,S. a. aberti MT-Zuni,0,-107.623047,35.227501
S. a. aberti MT-Zuni,S. a. aberti San Juan,0.34127219,-107.67,37.77
S. a. aberti MT-Zuni,S. a. barberi,0.284518198,-108.2527447,29.66891345
S. a. aberti MT-Zuni,S. a. chuscensis E,0.131218184,-109.0395333,36.09859869
S. a. aberti MT-Zuni,S. a. chuscensis W,0.147358239,-109.0395333,36.09859869
S. a. aberti MT-Zuni,S. a. ferreus Carson E,0.219142036,-105.084478,36.776967
S. a. aberti MT-Zuni,S. a. ferreus Pike,0.311821664,-105.3251534,38.9133299
S. a. aberti MT-Zuni,S. a. kaibabensis,0.433121,-112.1675211,36.5831097
S. a. aberti San Juan,S. a. aberti Carson-SFW,0.098021057,-106.620585,35.721199
S. a. aberti San Juan,S. a. aberti Coconino-Gila,0.305588067,-109.4186,33.7954
S. a. aberti San Juan,S. a. aberti MT-Zuni,0.34127219,-107.623047,35.227501
S. a. aberti San Juan,S. a. aberti San Juan,0,-107.67,37.77
S. a. aberti San Juan,S. a. barberi,0.399295044,-108.2527447,29.66891345
S. a. aberti San Juan,S. a. chuscensis E,0.431105741,-109.0395333,36.09859869
S. a. aberti San Juan,S. a. chuscensis W,0.383339008,-109.0395333,36.09859869
S. a. aberti San Juan,S. a. ferreus Carson E,0.302528022,-105.084478,36.776967
S. a. aberti San Juan,S. a. ferreus Pike,0.388014232,-105.3251534,38.9133299
S. a. aberti San Juan,S. a. kaibabensis,0.56771917,-112.1675211,36.5831097
S. a. barberi,S. a. aberti Carson-SFW,0.35716187,-106.620585,35.721199
S. a. barberi,S. a. aberti Coconino-Gila,0.228384049,-109.4186,33.7954
S. a. barberi,S. a. aberti MT-Zuni,0.284518198,-107.623047,35.227501
S. a. barberi,S. a. aberti San Juan,0.399295044,-107.67,37.77
S. a. barberi,S. a. barberi,0,-108.2527447,29.66891345
S. a. barberi,S. a. chuscensis E,0.266874857,-109.0395333,36.09859869
S. a. barberi,S. a. chuscensis W,0.328889126,-109.0395333,36.09859869
S. a. barberi,S. a. ferreus Carson E,0.284898695,-105.084478,36.776967
S. a. barberi,S. a. ferreus Pike,0.380299038,-105.3251534,38.9133299
S. a. barberi,S. a. kaibabensis,0.413447431,-112.1675211,36.5831097
S. a. chuscensis E,S. a. aberti Carson-SFW,0.32957575,-106.620585,35.721199
S. a. chuscensis E,S. a. aberti Coconino-Gila,0.15793706,-109.4186,33.7954
S. a. chuscensis E,S. a. aberti MT-Zuni,0.131218184,-107.623047,35.227501
